Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 56/93
Class 0 - Predicted: 31/31
Class 1 - Predicted: 3/31
Class 2 - Predicted: 22/31
Confident predictions (confidence over 90%): 0
Predictions with confidence under 50%: 56
Class	Prediction	Confidence
  1  	    0     	  0.593   
  0  	    0     	  0.560   
  1  	    1     	  0.657   
  1  	    0     	  0.476   
  1  	    2     	  0.617   
  2  	    2     	  0.512   
  1  	    0     	  0.562   
  1  	    0     	  0.539   
  2  	    2     	  0.487   
  0  	    0     	  0.538   
  2  	    0     	  0.481   
  2  	    2     	  0.786   
  0  	    0     	  0.653   
  1  	    0     	  0.459   
  2  	    2     	  0.481   
  1  	    0     	  0.528   
  2  	    1     	  0.422   
  1  	    0     	  0.505   
  1  	    0     	  0.638   
  2  	    2     	  0.484   
  1  	    0     	  0.545   
  2  	    0     	  0.464   
  0  	    0     	  0.629   
  0  	    0     	  0.660   
  1  	    0     	  0.521   
  1  	    0     	  0.584   
  1  	    0     	  0.591   
  1  	    0     	  0.505   
  0  	    0     	  0.681   
  1  	    2     	  0.533   
  0  	    0     	  0.682   
  1  	    0     	  0.440   
  0  	    0     	  0.672   
  2  	    2     	  0.533   
  2  	    2     	  0.458   
  0  	    0     	  0.626   
  2  	    2     	  0.504   
  0  	    0     	  0.647   
  0  	    0     	  0.696   
  0  	    0     	  0.672   
  2  	    2     	  0.422   
  1  	    0     	  0.478   
  2  	    2     	  0.408   
  2  	    0     	  0.452   
  2  	    2     	  0.604   
  2  	    0     	  0.528   
  1  	    0     	  0.470   
  0  	    0     	  0.656   
  2  	    2     	  0.413   
  0  	    0     	  0.681   
  0  	    0     	  0.676   
  0  	    0     	  0.676   
  0  	    0     	  0.695   
  0  	    0     	  0.655   
  0  	    0     	  0.660   
  2  	    2     	  0.510   
  0  	    0     	  0.664   
  2  	    2     	  0.483   
  2  	    2     	  0.562   
  1  	    0     	  0.579   
  0  	    0     	  0.676   
  1  	    0     	  0.555   
  1  	    0     	  0.574   
  2  	    1     	  0.397   
  0  	    0     	  0.653   
  0  	    0     	  0.693   
  0  	    0     	  0.667   
  0  	    0     	  0.695   
  0  	    0     	  0.681   
  2  	    0     	  0.456   
  2  	    2     	  0.509   
  0  	    0     	  0.655   
  1  	    1     	  0.583   
  2  	    0     	  0.446   
  1  	    0     	  0.439   
  2  	    2     	  0.518   
  1  	    0     	  0.495   
  0  	    0     	  0.652   
  2  	    2     	  0.480   
  2  	    2     	  0.478   
  1  	    0     	  0.605   
  1  	    1     	  0.447   
  1  	    0     	  0.626   
  2  	    2     	  0.515   
  1  	    0     	  0.508   
  0  	    0     	  0.698   
  2  	    1     	  0.386   
  2  	    2     	  0.469   
  1  	    0     	  0.554   
  1  	    0     	  0.609   
  2  	    2     	  0.556   
  0  	    0     	  0.689   
  0  	    0     	  0.654   
