Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 54/93
Class 0 - Predicted: 31/31
Class 1 - Predicted: 0/31
Class 2 - Predicted: 23/31
Confident predictions (confidence over 90%): 0
Predictions with confidence under 50%: 46
Class	Prediction	Confidence
  1  	    0     	  0.517   
  1  	    0     	  0.539   
  2  	    2     	  0.619   
  1  	    2     	  0.484   
  1  	    0     	  0.522   
  0  	    0     	  0.624   
  2  	    0     	  0.533   
  0  	    0     	  0.591   
  0  	    0     	  0.607   
  0  	    0     	  0.576   
  0  	    0     	  0.630   
  0  	    0     	  0.634   
  2  	    2     	  0.631   
  2  	    2     	  0.499   
  1  	    0     	  0.578   
  2  	    2     	  0.631   
  2  	    2     	  0.646   
  0  	    0     	  0.613   
  1  	    0     	  0.639   
  1  	    0     	  0.587   
  0  	    0     	  0.635   
  2  	    2     	  0.644   
  2  	    2     	  0.745   
  2  	    2     	  0.619   
  2  	    1     	  0.480   
  0  	    0     	  0.632   
  2  	    2     	  0.606   
  1  	    0     	  0.571   
  0  	    0     	  0.608   
  1  	    0     	  0.571   
  2  	    0     	  0.465   
  0  	    0     	  0.599   
  1  	    0     	  0.556   
  1  	    0     	  0.490   
  1  	    0     	  0.580   
  2  	    2     	  0.633   
  2  	    2     	  0.606   
  1  	    0     	  0.610   
  2  	    2     	  0.605   
  2  	    2     	  0.617   
  0  	    0     	  0.599   
  2  	    1     	  0.508   
  1  	    0     	  0.490   
  0  	    0     	  0.641   
  1  	    2     	  0.470   
  1  	    0     	  0.580   
  2  	    2     	  0.459   
  1  	    0     	  0.571   
  1  	    0     	  0.575   
  0  	    0     	  0.615   
  1  	    0     	  0.572   
  2  	    2     	  0.628   
  0  	    0     	  0.627   
  0  	    0     	  0.613   
  2  	    0     	  0.493   
  1  	    0     	  0.629   
  0  	    0     	  0.638   
  0  	    0     	  0.627   
  1  	    0     	  0.569   
  1  	    2     	  0.443   
  0  	    0     	  0.596   
  0  	    0     	  0.594   
  0  	    0     	  0.649   
  1  	    0     	  0.501   
  2  	    1     	  0.451   
  2  	    2     	  0.628   
  1  	    0     	  0.547   
  2  	    2     	  0.635   
  2  	    0     	  0.495   
  0  	    0     	  0.625   
  2  	    1     	  0.448   
  0  	    0     	  0.604   
  1  	    0     	  0.528   
  2  	    2     	  0.630   
  1  	    0     	  0.608   
  0  	    0     	  0.635   
  0  	    0     	  0.604   
  0  	    0     	  0.600   
  1  	    0     	  0.640   
  2  	    2     	  0.505   
  0  	    0     	  0.595   
  2  	    2     	  0.667   
  1  	    0     	  0.484   
  0  	    0     	  0.614   
  0  	    0     	  0.633   
  2  	    2     	  0.557   
  2  	    2     	  0.626   
  1  	    0     	  0.629   
  2  	    2     	  0.493   
  0  	    0     	  0.613   
  1  	    0     	  0.589   
  1  	    0     	  0.517   
  0  	    0     	  0.633   
