Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 39/93
Class 0 - Predicted: 11/31
Class 1 - Predicted: 28/31
Class 2 - Predicted: 0/31
Confident predictions (confidence over 90%): 0
Predictions with confidence under 50%: 70
Class	Prediction	Confidence
  2  	    0     	  0.498   
  1  	    1     	  0.556   
  0  	    0     	  0.499   
  1  	    1     	  0.527   
  2  	    0     	  0.519   
  1  	    1     	  0.603   
  1  	    1     	  0.483   
  1  	    1     	  0.660   
  2  	    1     	  0.644   
  2  	    0     	  0.468   
  0  	    1     	  0.645   
  2  	    0     	  0.515   
  1  	    1     	  0.683   
  2  	    0     	  0.493   
  1  	    1     	  0.482   
  0  	    1     	  0.473   
  2  	    0     	  0.475   
  0  	    0     	  0.512   
  2  	    0     	  0.489   
  2  	    0     	  0.471   
  0  	    1     	  0.506   
  1  	    1     	  0.616   
  1  	    1     	  0.609   
  2  	    0     	  0.491   
  1  	    0     	  0.481   
  1  	    1     	  0.677   
  0  	    1     	  0.491   
  0  	    1     	  0.532   
  0  	    1     	  0.718   
  2  	    1     	  0.619   
  0  	    0     	  0.512   
  0  	    1     	  0.524   
  2  	    0     	  0.521   
  2  	    0     	  0.511   
  2  	    0     	  0.491   
  0  	    1     	  0.476   
  1  	    1     	  0.683   
  2  	    0     	  0.525   
  2  	    0     	  0.493   
  1  	    1     	  0.517   
  2  	    1     	  0.492   
  2  	    0     	  0.519   
  2  	    0     	  0.518   
  0  	    0     	  0.507   
  1  	    1     	  0.679   
  1  	    1     	  0.696   
  0  	    0     	  0.477   
  2  	    0     	  0.473   
  2  	    0     	  0.509   
  1  	    1     	  0.580   
  0  	    1     	  0.725   
  0  	    0     	  0.499   
  2  	    0     	  0.546   
  0  	    1     	  0.505   
  2  	    0     	  0.428   
  0  	    0     	  0.510   
  2  	    0     	  0.534   
  0  	    0     	  0.471   
  1  	    1     	  0.569   
  0  	    0     	  0.481   
  2  	    0     	  0.512   
  1  	    1     	  0.630   
  1  	    1     	  0.728   
  1  	    1     	  0.666   
  1  	    0     	  0.521   
  0  	    1     	  0.518   
  2  	    0     	  0.504   
  0  	    1     	  0.480   
  2  	    0     	  0.491   
  0  	    1     	  0.492   
  2  	    0     	  0.489   
  0  	    1     	  0.563   
  0  	    0     	  0.502   
  2  	    0     	  0.480   
  1  	    1     	  0.740   
  1  	    1     	  0.673   
  1  	    1     	  0.567   
  1  	    0     	  0.453   
  0  	    1     	  0.495   
  2  	    0     	  0.499   
  0  	    1     	  0.471   
  0  	    1     	  0.477   
  0  	    1     	  0.520   
  2  	    1     	  0.479   
  0  	    0     	  0.496   
  1  	    1     	  0.624   
  1  	    1     	  0.540   
  0  	    1     	  0.490   
  1  	    1     	  0.571   
  1  	    1     	  0.690   
  1  	    1     	  0.659   
  0  	    1     	  0.488   
  1  	    1     	  0.746   
