Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 62/93
Class 0 - Predicted: 31/31
Class 1 - Predicted: 2/31
Class 2 - Predicted: 29/31
Confident predictions (confidence over 90%): 0
Predictions with confidence under 50%: 71
Class	Prediction	Confidence
  0  	    0     	  0.488   
  0  	    0     	  0.497   
  1  	    0     	  0.532   
  0  	    0     	  0.510   
  2  	    2     	  0.708   
  0  	    0     	  0.507   
  0  	    0     	  0.523   
  0  	    0     	  0.491   
  0  	    0     	  0.537   
  1  	    0     	  0.492   
  1  	    0     	  0.401   
  2  	    2     	  0.722   
  0  	    0     	  0.514   
  2  	    0     	  0.424   
  2  	    2     	  0.646   
  2  	    2     	  0.718   
  0  	    0     	  0.522   
  1  	    0     	  0.490   
  1  	    0     	  0.557   
  1  	    0     	  0.460   
  1  	    0     	  0.504   
  0  	    0     	  0.483   
  1  	    0     	  0.548   
  0  	    0     	  0.521   
  2  	    2     	  0.594   
  2  	    2     	  0.713   
  1  	    0     	  0.461   
  1  	    0     	  0.465   
  0  	    0     	  0.505   
  2  	    2     	  0.691   
  2  	    2     	  0.731   
  2  	    2     	  0.675   
  0  	    0     	  0.533   
  0  	    0     	  0.532   
  1  	    0     	  0.427   
  0  	    0     	  0.540   
  2  	    2     	  0.732   
  1  	    0     	  0.428   
  2  	    2     	  0.591   
  1  	    0     	  0.548   
  1  	    0     	  0.446   
  1  	    1     	  0.550   
  2  	    2     	  0.657   
  1  	    0     	  0.472   
  0  	    0     	  0.528   
  2  	    2     	  0.672   
  2  	    2     	  0.734   
  1  	    0     	  0.446   
  0  	    0     	  0.547   
  2  	    2     	  0.491   
  2  	    2     	  0.661   
  2  	    2     	  0.732   
  2  	    2     	  0.746   
  1  	    0     	  0.427   
  2  	    2     	  0.680   
  2  	    2     	  0.706   
  1  	    0     	  0.451   
  2  	    2     	  0.592   
  2  	    2     	  0.685   
  0  	    0     	  0.507   
  1  	    0     	  0.491   
  0  	    0     	  0.533   
  1  	    0     	  0.511   
  2  	    2     	  0.567   
  0  	    0     	  0.520   
  2  	    0     	  0.401   
  0  	    0     	  0.520   
  1  	    0     	  0.488   
  2  	    2     	  0.585   
  0  	    0     	  0.535   
  0  	    0     	  0.524   
  0  	    0     	  0.518   
  0  	    0     	  0.513   
  2  	    2     	  0.714   
  0  	    0     	  0.503   
  0  	    0     	  0.536   
  2  	    2     	  0.618   
  0  	    0     	  0.543   
  1  	    2     	  0.547   
  2  	    2     	  0.624   
  1  	    0     	  0.487   
  1  	    2     	  0.457   
  1  	    1     	  0.538   
  1  	    0     	  0.485   
  2  	    2     	  0.526   
  1  	    0     	  0.409   
  0  	    0     	  0.501   
  1  	    0     	  0.504   
  1  	    0     	  0.439   
  2  	    2     	  0.600   
  0  	    0     	  0.520   
  0  	    0     	  0.535   
  1  	    0     	  0.415   
