Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 16/30
Class 0 - Predicted: 0/10
Class 1 - Predicted: 10/10
Class 2 - Predicted: 6/10
Confident predictions (confidence over 90%): 13
Predictions with confidence under 50%: 2
Class	Prediction	Confidence
  2  	    2     	  0.930   
  0  	    1     	  0.792   
  0  	    1     	  0.605   
  2  	    1     	  0.823   
  1  	    1     	  0.971   
  2  	    2     	  0.969   
  1  	    1     	  0.967   
  2  	    2     	  0.879   
  1  	    1     	  0.821   
  0  	    1     	  0.899   
  1  	    1     	  0.942   
  0  	    1     	  0.924   
  2  	    2     	  0.819   
  2  	    1     	  0.927   
  0  	    1     	  0.682   
  1  	    1     	  0.962   
  2  	    1     	  0.729   
  1  	    1     	  0.859   
  2  	    2     	  0.983   
  2  	    2     	  0.766   
  1  	    1     	  0.958   
  2  	    1     	  0.770   
  1  	    1     	  0.924   
  0  	    1     	  0.791   
  0  	    1     	  0.707   
  0  	    1     	  0.569   
  0  	    1     	  0.703   
  1  	    1     	  0.963   
  1  	    1     	  0.974   
  0  	    1     	  0.566   
