Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 30/30
Class 0 - Predicted: 10/10
Class 1 - Predicted: 10/10
Class 2 - Predicted: 10/10
Confident predictions (confidence over 90%): 28
Predictions with confidence under 50%: 0
Class	Prediction	Confidence
  1  	    1     	  0.955   
  1  	    1     	  0.999   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  1.000   
  2  	    2     	  0.937   
  2  	    2     	  1.000   
  1  	    1     	  0.999   
  0  	    0     	  1.000   
  1  	    1     	  0.990   
  0  	    0     	  1.000   
  1  	    1     	  0.996   
  0  	    0     	  0.999   
  0  	    0     	  0.999   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  1  	    1     	  1.000   
  1  	    1     	  0.838   
  1  	    1     	  0.807   
  0  	    0     	  0.997   
  1  	    1     	  0.999   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  0.994   
  1  	    1     	  0.999   
